Country,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Gabon,498162,501880,505765,509973,514963,521339,529526,539728,551811,565441,580101,595417,611293,627846,645160,663387,682641,702923,724185,746424,769635,793810,818863,844775,871675,899739,929044,959631,991289,1023531,1055707,1087327,1118215,1148416,1177936,1206862,1235274,1263165,1290532,1317484,1344171,1370729,1397192,1423637,1450310,1477514,1505463,1534262,1563873,1594205
Gambia,402436,409450,417350,426005,435647,446488,458663,472432,487790,504267,521186,538110,554910,571891,589570,608680,629786,652817,677685,704894,735056,768460,805491,845642,887224,927937,966151,1001252,1033748,1064522,1094974,1126183,1158308,1191155,1225044,1260283,1297084,1335674,1376035,1417818,1460493,1503678,1547259,1591357,1636107,1681734,1728394,1776103,1824777,1874360
Georgia,4419666,4477493,4530176,4578194,4622680,4665358,4707491,4749634,4791473,4832396,4871428,4907996,4941721,4973247,5004247,5036986,5073000,5111551,5151606,5193836,5239068,5287002,5339661,5394502,5441216,5466100,5459999,5418521,5346229,5254049,5157814,5069269,4992336,4924569,4863694,4805140,4745765,4685331,4626034,4569880,4519607,4477006,4442825,4415956,4394018,4373630,4352244,4329026,4304363,4278410
Germany,75363329,75963700,76518660,77026811,77477619,77860668,78169287,78398250,78549958,78635758,78672415,78673559,78648816,78600404,78526576,78422458,78288577,78124452,77944929,77784306,77686865,77684875,77783439,77974722,78260173,78637382,79098094,79651903,80282985,80926118,81495194,81929441,82200333,82326019,82350467,82341545,82349027,82384256,82432026,82484111,82524343,82540739,82536138,82516297,82475271,82405365,82302465,82162512,81990837,81804228
Ghana,7610752,7807845,7986643,8150359,8310713,8484140,8681818,8911291,9167822,9435673,9692196,9922663,10119038,10290712,10461377,10664342,10922708,11246007,11624726,12039663,12462279,12871965,13261929,13638708,14010951,14392619,14793415,15216133,15655847,16105502,16554855,16996901,17429209,17855250,18281113,18715676,19165490,19632265,20114361,20610897,21119911,21639806,22170556,22712403,23264176,23824402,24391823,24965816,25545939,26131336
Gibraltar,22885,23248,23582,23894,24178,24431,24654,24838,24985,25117,25262,25440,25663,25920,26182,26406,26565,26648,26667,26647,26619,26608,26620,26650,26697,26757,26830,26921,27032,27145,27233,27283,27279,27231,27188,27214,27348,27615,27989,28410,28793,29075,29237,29296,29287,29257,29244,29254,29278,29309
Greece,8509724,8551005,8596595,8646013,8697173,8746781,8793002,8833582,8870711,8912166,8968522,9046544,9149987,9274357,9408034,9534673,9642504,9728220,9795461,9848045,9892518,9934292,9972624,10007304,10045020,10094241,10160501,10247132,10351229,10464295,10574134,10671809,10754641,10824894,10884604,10937612,10986883,11032395,11073334,11111072,11147261,11183114,11219300,11255717,11291807,11326596,11359346,11390031,11418878,11445691
Greenland,37810,39215,40715,42273,43809,45221,46431,47420,48209,48814,49263,49586,49775,49844,49873,49969,50208,50619,51180,51842,52527,53173,53777,54348,54854,55263,55552,55705,55735,55688,55631,55617,55657,55742,55867,56022,56196,56395,56618,56844,57041,57190,57280,57316,57317,57304,57296,57296,57300,57300
Grenada,94050,94561,94858,94937,94846,94649,94393,94140,93896,93588,93108,92408,91386,90134,89011,88508,88936,90504,93015,95903,98359,99824,100062,99296,97978,96785,96200,96368,97113,98212,99313,100163,100707,101039,101219,101354,101522,101731,101954,102195,102455,102734,103037,103368,103723,104097,104487,104890,105303,105719
Guadeloupe,296326,300691,305052,309291,313303,316932,320063,322773,325123,326970,328124,328514,328008,326826,325673,325493,326951,330293,335282,341489,348247,355037,361790,368563,375102,381130,386465,390937,394606,397815,401061,404700,408845,413372,418110,422791,427214,431337,435222,438895,442413,445814,449103,452253,455247,458057,460666,463069,465282,467335
Guam,74044,75911,77789,79687,81598,83522,85459,87402,89350,91316,93322,95380,97496,99669,101903,104204,106572,109001,111489,114050,116705,119464,122333,125288,128260,131157,133914,136518,138981,141304,143492,145559,147481,149279,151065,152987,155147,157596,160292,163121,165918,168565,171024,173334,175538,177707,179896,182111,184334,186562
Guatemala,4636016,4762956,4892812,5025681,5162058,5302604,5447687,5597742,5752386,5910205,6069254,6228224,6386403,6544422,6703955,6867413,7036484,7211938,7393131,7578625,7766291,7954682,8143365,8333124,8525211,8721429,8923131,9131088,9345130,9564571,9788284,10015675,10246429,10481515,10723154,10974314,11237101,11512637,11800351,12098576,12404764,12717154,13034904,13358842,13690846,14033623,14388929,14757316,15137569,15527502
Guernsey,49329,50077,50782,51468,52099,52697,53287,53759,53818,53827,53792,53721,53630,53555,53485,53422,53360,53415,53846,54280,54718,55159,58440,59441,60484,61544,62623,61289,61675,62037,62367,62668,62951,63243,63527,63806,64080,64342,64587,64818,65031,65228,65409,65573,65726,,,,,
Guinea,3759549,3822583,3890947,3963201,4034827,4099723,4153653,4195876,4228217,4252351,4270991,4286863,4300114,4312321,4329468,4359115,4406831,4477191,4569938,4679999,4799450,4923603,5045781,5170120,5315182,5506436,5759374,6083795,6466435,6871525,7249558,7565235,7805735,7982155,8112650,8226138,8344486,8472339,8604936,8743954,8889321,9041448,9201941,9373619,9559110,9761217,9981590,10221808,10480710,10753680
Guinea-Bissau,598294,597695,596340,594699,594145,596459,602916,613847,628890,647703,669656,694113,721220,750655,780721,809221,834611,856143,874270,890152,905580,921889,939371,957688,976802,996520,1016695,1037431,1058839,1080767,1103003,1125392,1147908,1170619,1193585,1216902,1240655,1264855,1289526,1314795,1340814,1367695,1395492,1424191,1453757,1484120,1515224,1547061,1579632,1612913
Guyana,623694,640447,657885,675725,692968,708276,720738,729796,735823,739970,743915,748809,755174,762481,769570,774748,776856,775589,771521,765434,758499,751636,745015,738589,732806,728147,724931,723448,723615,724909,726552,727979,728990,729743,730458,731496,733101,735327,738011,740925,743743,746235,748321,750068,751578,753013,754493,756040,757623,759262
Haiti,4188276,4272760,4359031,4446944,4535485,4623315,4709644,4794158,4877645,4961817,5049035,5141143,5238431,5340812,5449236,5564724,5687812,5819084,5957920,6102119,6248634,6395193,6540928,6686182,6831374,6977397,7124877,7273530,7422881,7573160,7724690,7877569,8031903,8187204,8342233,8495358,8645371,8791931,8935252,9075399,9212634,9347262,9479136,9608453,9736332,9864241,9993247,10123787,10255644,10388424
Holy See,881,855,817,767,715,672,648,644,660,685,711,729,737,737,733,728,726,728,731,736,742,747,752,757,762,766,770,772,773,774,776,781,791,804,814,809,787,742,678,607,541,492,462,450,450,455,458,459,460,460
Honduras,2279568,2349455,2417101,2483231,2549206,2617017,2688208,2763122,2841609,2924118,3011047,3102649,3199231,3300735,3406539,3515736,3627640,3741932,3858691,3978080,4100422,4225870,4354245,4485151,4618245,4753109,4889311,5026843,5165380,5303798,5440691,5575099,5706605,5835607,5963008,6090164,6218151,6347272,6477525,6609337,6743128,6879243,7017769,7158819,7302742,7449923,7600524,7754687,7912032,8071522
"Hong Kong, China",3694996,3801680,3868368,3901531,3914978,3928817,3958092,4005661,4068311,4147503,4243420,4355208,4485716,4633225,4786467,4930176,5053554,5151920,5228670,5291060,5350313,5414630,5486801,5564427,5644480,5721987,5793857,5857068,5914114,5973754,6048024,6144316,6268283,6414109,6563860,6692636,6783317,6828869,6836766,6822233,6807752,6809859,6832989,6872780,6926368,6987976,7053189,7122187,7196450,7274125
Hungary,10107595,10140871,10173802,10207293,10241753,10277698,10315420,10354275,10393745,10434264,10476458,10520246,10566645,10614041,10656575,10686489,10698534,10690574,10665068,10627145,10584347,10542504,10502732,10464389,10429422,10399695,10376320,10360831,10352695,10348284,10342427,10331403,10313993,10291342,10264982,10237422,10210545,10184663,10159273,10134513,10110393,10086936,10064274,10042572,10021886,10002247,9983645,9966116,9949589,9933795
Iceland,189148,192000,194608,196994,199273,201606,204101,206821,209722,212673,215485,218031,220260,222238,224096,226025,228160,230543,233131,235861,238641,241398,244124,246837,249526,252179,254793,257359,259881,262386,264909,267478,270119,272836,275608,278403,281210,283992,286783,289724,293004,296743,301010,305721,310666,315543,320136,324366,328290,331996
India,486038945,496400381,507115411,518192403,529658233,541544619,553873890,566651479,579871075,593526633,607606569,622096682,636992593,652279308,667917437,683857312,700058589,716493309,733151769,750033539,767146806,784490842,802051806,819800055,837699675,855707358,873785449,891910180,910064576,928226051,946373316,964486155,982553253,1000558144,1018471141,1036258683,1053898107,1071374264,1088694080,1105885689,1122991192,1140042863,1157038539,1173971629,1190863679,1207740408,1224614327,1241491960,1258350971,1275137828
Indonesia,101538797,104146696,106839814,109612753,112461009,115379062,118361740,121405753,124507744,127662293,130863441,134105926,137382075,140688052,144026720,147403681,150820044,154275429,157758440,161245684,164706919,168119209,171472345,174767379,178006800,181197879,184345939,187451800,190512441,193525648,196488446,199400339,202257039,205063468,207839287,210610776,213395411,216203499,219026365,221839235,224606531,227303175,229918547,232461746,234951154,237414495,239870937,242325638,244769110,247188189
Iran,24408927,25063612,25743217,26448218,27173692,27912687,28662011,29421198,30197689,31006191,31866190,32793173,33788867,34853522,35998637,37237306,38576541,40012129,41533339,43130529,44790735,46497235,48257311,50052662,51810746,53437770,54870583,56071545,57067645,57940444,58808655,59757114,60815686,61955730,63133032,64278307,65342319,66313553,67212850,68061695,68893323,69732007,70582086,71435498,72289291,73137148,73973630,74798599,75611798,76407013
Iraq,8227763,8483109,8759064,9054873,9367055,9690613,10021785,10358219,10700247,11049889,11410460,11783644,12170881,12569201,12970635,13364514,13743534,14106693,14457565,14799456,15137560,15477228,15818309,16164205,16528250,16927393,17373767,17871623,18417924,19008018,19633844,20288226,20972915,21686777,22416190,23143629,23857458,24552000,25233067,25914982,26618523,27359461,28140999,28960581,29821136,30724614,31671591,32664942,33703068,34776205
Ireland,2860976,2874711,2887470,2900350,2915420,2935643,2963020,2997907,3039128,3085214,3134031,3183759,3233907,3284081,3332644,3377699,3417798,3452589,3482073,3505714,3523059,3534103,3538519,3537244,3533181,3530188,3531219,3537626,3549302,3565952,3586685,3610958,3638457,3669860,3706687,3750945,3803780,3865820,3935781,4010506,4085676,4158042,4226428,4291258,4352866,4412181,4469900,4525802,4579498,4631391
Isle of Man,49822,50717,51780,52999,54294,55559,56717,57717,58567,59331,60102,60945,61904,62938,63923,64684,65112,65132,64820,64407,64209,64448,65226,66450,67904,69265,70313,70963,71305,71484,71724,72183,72908,73832,74870,75892,76803,77577,78246,78840,79410,79994,80598,81203,81798,82358,82869,83327,83739,84111
Israel,2443420,2522641,2591671,2652723,2711274,2775091,2849534,2936585,3033863,3137027,3239653,3336984,3428067,3514143,3595324,3672295,3745797,3816400,3884594,3951159,4017024,4083495,4149457,4216475,4291626,4384139,4499949,4642324,4807603,4986162,5164345,5332079,5486774,5630785,5765115,5892366,6014953,6131313,6241593,6352106,6471236,6604572,6755143,6920182,7092324,7260949,7418400,7562194,7694670,7818860
Italy,51054762,51453513,51839323,52215095,52584254,52952971,53324772,53700117,54074032,54438147,54781374,55095516,55377233,55627789,55849349,56046086,56221171,56376115,56510204,56622072,56709575,56772141,56808914,56823401,56824700,56824792,56832330,56856059,56895154,56937520,56965197,56968039,56938342,56888300,56851522,56873677,56986329,57199219,57498867,57864332,58263782,58671206,59082100,59495243,59891479,60248654,60550848,60788694,60964145,61087395
Jamaica,1734820,1760400,1783255,1804079,1824153,1845371,1869031,1895729,1924871,1955153,1984678,2012156,2036770,2059107,2080943,2104823,2132390,2164601,2200377,2236865,2270069,2297232,2317284,2331427,2341957,2352279,2364909,2380447,2398249,2418080,2439337,2461516,2484672,2508867,2533550,2558003,2581648,2604321,2625968,2646269,2664897,2681653,2696334,2709042,2720282,2730774,2741052,2751273,2761331,2771179
Japan,96253698,97342773,98495891,99712724,100990902,102326089,103710287,105145914,106619818,108089192,109498615,110808090,111996339,113071149,114057650,114996088,115914688,116823958,117711145,118554190,119320901,119990547,120553260,121023579,121434677,121832924,122251184,122703017,123177552,123653405,124097649,124486744,124814986,125091571,125325617,125531619,125720310,125893623,126048366,126184149,126299414,126392944,126464789,126515486,126544640,126551705,126535920,126497241,126434653,126345235
Jersey,65613,66312,66944,67547,68070,68545,69002,69488,70268,70989,71660,72289,72900,73535,74186,74852,75531,76245,77068,77899,78740,79589,80448,81279,82083,82860,83609,84233,84768,85245,85719,86297,86861,87411,87939,88440,88915,89361,89775,90156,90502,90812,91084,91321,91533,,,,,
Jordan,1059627,1129219,1220890,1330877,1449985,1565143,1666920,1752689,1825322,1887681,1944733,2000538,2055198,2108538,2164159,2226485,2298691,2383227,2479683,2584859,2693837,2803422,2910375,3016540,3129651,3260496,3415567,3599359,3806045,4019284,4216536,4382005,4510082,4606717,4682018,4751501,4827096,4910056,4998372,5096790,5210369,5342002,5495117,5667443,5848952,6025592,6187227,6330169,6457260,6572903
Kazakhstan,11577537,11909001,12200891,12455366,12682452,12897025,13109992,13325342,13540301,13751019,13950987,14136006,14304947,14461277,14610810,14761508,14918991,15082186,15248460,15419454,15596921,15780002,15972358,16167918,16344294,16471823,16530000,16513480,16430903,16293800,16120117,15925853,15712544,15484686,15265189,15082372,14956694,14897666,14901669,14959072,15053492,15171805,15312333,15476093,15655345,15841096,16026367,16206750,16381297,16550975
Kenya,9200107,9504635,9822419,10154382,10502123,10867576,11252318,11657321,12082989,12529622,12997274,13486116,13995982,14527391,15081923,15661593,16267558,16899958,17557466,18237830,18937969,19655192,20387701,21134404,21894026,22665447,23447177,24240108,25042330,25846436,26642887,27425720,28191597,28944780,29696410,30462154,31253701,32076186,32927864,33805301,34702176,35614576,36540948,37485246,38455418,39462188,40512682,41609728,42749418,43923719
Kiribati,36801,37895,39071,40314,41574,42782,43891,44881,45777,46629,47515,48491,49573,50750,52015,53350,54742,56180,57668,59223,60871,62620,64491,66457,68416,70239,71835,73163,74263,75227,76188,77248,78431,79713,81085,82524,84010,85550,87147,88776,90398,91988,93534,95043,96532,98027,99546,101093,102660,104251
"Korea, Dem. Rep.",12011509,12323345,12671954,13048499,13444411,13847248,14246772,14642731,15034521,15411302,15759909,16072089,16341363,16572788,16784068,17000252,17239340,17508435,17802273,18111491,18421195,18720888,19006458,19282372,19556657,19841107,20143212,20466180,20804249,21145052,21471407,21770898,22038893,22278723,22495715,22698674,22894095,23083419,23264576,23436550,23597383,23745941,23882465,24008606,24126329,24238179,24346229,24451285,24553672,24654358
"Korea, Rep.",27772698,28395140,29009251,29610399,30208614,30816726,31443029,32094421,32766592,33442949,34099932,34721507,35299344,35840876,36364813,36898192,37459530,38054603,38674216,39303579,39920981,40509932,41066824,41594331,42089874,42552039,42980365,43372546,43729283,44057249,44365820,44662143,44949627,45227776,45495222,45749004,45987624,46210554,46420867,46624837,46830699,47044126,47267733,47499360,47733951,47963923,48183584,48391343,48588326,48774767
Kosovo,1386360,1399651,1413084,1424735,1436878,1448642,1459678,1472076,1485874,1498456,1512430,1526753,1539760,1552556,1564448,1575960,1600570,1603831,1614480,1624276,1625905,1635482,1644596,1649862,1656892,1664158,1670808,2092679,2227264,2365038,2484175,2567417,2617993,2647850,2654379,2639714,2614315,2571012,2511039,2468091,2433907,2422257,2419235,2421609,2423704,,,,,
Kuwait,433288,484205,535698,588171,641694,696610,753142,811187,870446,930744,991885,1053753,1116083,1178930,1242872,1308718,1376963,1445699,1514013,1584310,1659961,1742083,1835819,1937316,2028166,2083550,2087687,2031004,1924077,1795976,1687552,1627911,1628120,1678812,1763693,1857217,1940786,2009588,2069816,2126786,2189485,2264014,2351441,2447818,2548351,2646286,2736732,2818042,2891553,2959015
Kyrgyzstan,2490244,2573494,2655349,2735838,2814423,2890720,2964499,3035474,3103694,3169771,3234611,3299001,3362961,3426646,3491143,3557793,3627499,3700312,3775764,3853514,3933002,4013498,4095873,4179484,4260325,4333114,4394502,4441582,4476402,4506563,4542747,4592135,4658815,4739263,4823870,4898865,4954850,4987944,5002691,5008348,5018366,5042381,5083724,5139213,5204104,5270894,5334223,5392580,5448085,5503253
Laos,2336091,2391060,2447006,2503880,2562718,2624932,2691207,2762977,2839169,2914999,2983956,3041847,3086518,3120663,3150906,3186599,3234555,3296978,3372093,3457860,3550669,3647754,3748525,3853600,3962714,4075767,4192414,4312348,4434570,4557216,4677981,4795112,4907960,5016576,5120845,5220920,5317060,5408912,5496700,5582028,5667055,5753341,5841572,5931385,6022001,6112143,6200894,6288037,6373934,6458911
Latvia,2236535,2261016,2284026,2305578,2326027,2345942,2365705,2385524,2405177,2424107,2441537,2456971,2470206,2481606,2491929,2502245,2513349,2524804,2536323,2548940,2563992,2582011,2604319,2629552,2652332,2665405,2663905,2645539,2612722,2571110,2528893,2492095,2462617,2438994,2419819,2402452,2384972,2367302,2350340,2334225,2319229,2305528,2293080,2281693,2271198,2261380,2252060,2243142,2234572,2226260
Lebanon,2147273,2203902,2256917,2306528,2355380,2407221,2464286,2528423,2597588,2665458,2723330,2765289,2788641,2796136,2794001,2791308,2794638,2807342,2827767,2851609,2872204,2885481,2888455,2884778,2884840,2902893,2948372,3026061,3130785,3249799,3364891,3462974,3539137,3597350,3644171,3690033,3742329,3802903,3868504,3935421,3998042,4052420,4097457,4134872,4166915,4196990,4227597,4259405,4291719,4324060
Lesotho,915820,933664,952235,971576,991576,1012087,1033044,1054333,1076100,1098849,1123261,1149797,1178551,1209290,1241725,1275421,1309981,1345398,1381537,1417720,1453098,1487079,1519369,1550144,1579900,1609386,1639177,1669190,1699284,1729896,1761558,1794531,1829222,1865218,1900962,1934337,1963878,1988983,2010261,2028976,2047006,2065752,2085561,2106128,2127412,2149201,2171318,2193843,2216850,2240126
Liberia,1230038,1261555,1294368,1328506,1364046,1401077,1439677,1479831,1521565,1565044,1610474,1657971,1706539,1755815,1807164,1862497,1922536,1988931,2059483,2126455,2179471,2211509,2221350,2212690,2189831,2159264,2127098,2091355,2054179,2030591,2039922,2094591,2203809,2360511,2540835,2710963,2847290,2939296,2996082,3037412,3092721,3182539,3313718,3477197,3658460,3835929,3994122,4128572,4244684,4348740
Libya,1561744,1622996,1688870,1759132,1833611,1911968,1994000,2079897,2169965,2264278,2362900,2466000,2572300,2681887,2797780,2924086,3063000,3216430,3381390,3549220,3708142,3849801,3970886,4074021,4164147,4249018,4334459,4421885,4509970,4598629,4687106,4775009,4862665,4951076,5041233,5134324,5231189,5331311,5434293,5541062,5652797,5769709,5893738,6023053,6149620,6262667,6355112,6422772,6469497,6506095
Liechtenstein,18235,18717,19236,19782,20335,20867,21358,21799,22196,22563,22922,23288,23665,24048,24436,24825,25213,25600,25990,26377,26761,27140,27511,27878,28243,28611,28986,29370,29760,30154,30549,30941,31328,31710,32090,32470,32853,33239,33626,34006,34365,34696,34995,35266,35521,35772,36032,36304,36584,36871
Lithuania,2927610,2966462,3003168,3037887,3071192,3104044,3137113,3170575,3204064,3237070,3268867,3298964,3327193,3353830,3379395,3404630,3430089,3455403,3480356,3505769,3532724,3561668,3593334,3626602,3657818,3682059,3695890,3698095,3689943,3673606,3652438,3629104,3604044,3577128,3549816,3523732,3500028,3479622,3462402,3447170,3432060,3415748,3397895,3379043,3359799,3341097,3323611,3307481,3292454,3278337
Luxembourg,328603,331505,333465,334657,335573,336922,339184,342560,346805,351409,355635,358956,361239,362669,363435,363846,364158,364405,364589,364897,365550,366716,368467,370806,373733,377218,381225,385755,390778,396179,401804,407522,413377,419355,425216,430650,435491,439509,442882,446340,450888,457197,465586,475714,486781,497637,507448,515941,523362,530018
"Macao, China",197519,206906,216869,227256,237127,245308,250995,253879,254280,252843,250548,248211,245913,243725,242455,243067,246230,252251,260913,271665,283662,296210,309212,322637,335931,348443,359709,369493,377886,385193,391906,398426,404808,411050,417435,424292,431867,440265,449472,459456,470127,481390,493267,505709,518463,531195,543656,555731,567441,578844
"Macedonia, FYR",1462410,1481397,1498995,1515804,1532371,1549553,1567968,1587484,1607799,1629127,1651721,1675598,1701231,1728165,1754389,1777205,1794830,1806228,1812327,1815719,1820117,1828148,1840767,1857034,1875387,1893409,1909353,1922774,1934265,1944343,1953874,1963484,1973283,1982994,1992404,2001178,2009091,2016075,2022255,2027819,2033039,2038109,2043091,2047922,2052524,2056769,2060563,2063893,2066785,2069219
Madagascar,5623161,5764278,5909996,6060590,6216739,6379309,6548922,6725666,6909376,7100076,7297711,7502097,7713983,7933128,8157215,8383124,8608964,8833875,9059559,9289882,9530197,9784559,10054543,10339739,10639804,10953663,11280625,11620718,11974724,12343496,12728117,13129227,13547271,13981666,14430739,14892172,15364272,15846412,16338968,16842482,17357913,17885967,18426870,18980391,19546282,20124150,20713819,21315135,21928518,22555046
Malawi,3877813,3974682,4074649,4178378,4287627,4404709,4531280,4667889,4814073,4969175,5132087,5301861,5481074,5670199,5863933,6055046,6239898,6409111,6567327,6741249,6967388,7268257,7661008,8128340,8616602,9051225,9380892,9583696,9681728,9721620,9772164,9883350,10070605,10319125,10612353,10922265,11228756,11529337,11833102,12144945,12472794,12822587,13195329,13589404,14005113,14442290,14900841,15380888,15882815,16406945
Malaysia,9286976,9569499,9844029,10112042,10376210,10640883,10909353,11182967,11461117,11742976,12027040,12312736,12600292,12891897,13191366,13503629,13832586,14178739,14542156,14925545,15331937,15762856,16220169,16701745,17200067,17704839,18208562,18707774,19204087,19701263,20205446,20720810,21247102,21781499,22322448,22867698,23414909,23964621,24515323,25060184,25590453,26100241,26586287,27051142,27502008,27949395,28401017,28859154,29321798,29787203
Maldives,100370,102909,105325,107659,110056,112714,115772,119308,123266,127491,131752,135895,139851,143701,147623,151872,156626,161931,167708,173861,180238,186720,193275,199898,206522,213067,219474,225709,231756,237606,243256,248712,253960,259002,263867,268600,273236,277791,282266,286665,290988,295240,299419,303539,307632,311739,315885,320081,324313,328551
Mali,5522231,5597238,5675700,5757783,5844286,5936162,6034022,6138428,6249101,6364760,6483570,6604259,6725776,6848536,6974443,7106248,7245598,7394730,7552338,7712392,7866571,8009705,8139016,8258615,8378673,8513337,8672868,8861362,9076261,9313042,9564231,9824510,10092753,10371338,10662517,10969725,11295324,11639798,12001887,12380104,12772264,13176642,13592796,14020786,14459990,14909813,15369809,15839538,16318897,16808242
Malta,307119,305851,304939,304369,304047,303822,303607,303338,303123,303243,304083,305898,308788,312621,317130,321925,326709,331406,336046,340572,344944,349135,353069,356736,360256,363812,367524,371455,375533,379574,383314,386576,389277,391499,393429,395339,397420,399746,402244,404787,407183,409295,411084,412608,413946,415220,416515,417855,419212,420557
Marshall Islands,16700,17282,17839,18387,18965,19622,20397,21309,22340,23439,24534,25578,26547,27467,28396,29414,30578,31891,33330,34890,36562,38327,40196,42140,44054,45802,47288,48469,49369,50040,50565,51008,51389,51697,51930,52080,52145,52131,52066,51992,51968,52037,52210,52487,52880,53396,54038,54816,55717,56687
Martinique,306700,311488,315566,318932,321649,323829,325561,326918,327918,328542,328748,328542,327897,326945,326056,325713,326254,327810,330273,333448,337024,340749,344615,348630,352584,356223,359377,361915,363904,365618,367459,369709,372461,375604,378962,382276,385349,388133,390681,393022,395211,397292,399262,401101,402804,404376,405814,407121,408302,409366
Mauritania,956369,983773,1011900,1040792,1070585,1101457,1133539,1166883,1201462,1237242,1274150,1312132,1351167,1391261,1432406,1474597,1517817,1562144,1607553,1653818,1700638,1747839,1795343,1843352,1892328,1942900,1995548,2050456,2107590,2166948,2228453,2292053,2357678,2425374,2495316,2567741,2642743,2720367,2800333,2882003,2964526,3047249,3129959,3212672,3295254,3377630,3459773,3541540,3622961,3704414
Mauritius,735508,753065,769472,784833,799329,813258,826862,840108,852981,865777,878870,892492,906825,921718,936660,950931,964023,975852,986620,996476,1005669,1014450,1022704,1030542,1038704,1048161,1059548,1073250,1088939,1105659,1122040,1137098,1150448,1162388,1173451,1184470,1196027,1208279,1220935,1233594,1245669,1256742,1266684,1275650,1283849,1291609,1299172,1306593,1313803,1320785
Mayotte,29175,30455,31684,32881,34087,35364,36755,38290,39955,41712,43495,45268,47016,48777,50630,52684,55016,57665,60618,63844,67287,70912,74685,78630,82829,87402,92413,97901,103795,109918,116028,121949,127624,133089,138384,143585,148753,153887,158983,164101,169315,174681,180217,185922,191805,197870,204114,210552,217172,223907
Mexico,43574687,44898430,46229966,47572205,48943844,50370262,51868335,53441943,55081201,56771626,58492118,60224601,61969362,63723359,65461471,67152555,68776411,70318386,71788766,73223336,74673296,76175154,77741110,79358780,81010093,82666457,84306602,85923799,87523328,89109703,90691331,92272749,93858373,95441345,97001933,98513690,99959594,101329543,102634153,103902569,105175967,106483757,107835259,109220753,110627158,112033369,113423047,114793341,116146768,117478371
"Micronesia, Fed. Sts.",50481,52236,54199,56322,58403,60166,61431,62105,62297,62288,62474,63143,64383,66106,68217,70546,72962,75456,78048,80667,83232,85682,87950,90037,92040,94105,96319,98749,101314,103780,105825,107233,107904,107947,107605,107237,107103,107290,107728,108325,108926,109419,109789,110092,110367,110676,111064,111542,112098,112726
Moldova,3275331,3335497,3391966,3444753,3495063,3544593,3594501,3645524,3697183,3747974,3795721,3838998,3877052,3910760,3942280,3974656,4009998,4048772,4090009,4132576,4174737,4214996,4252952,4288276,4319579,4345236,4363950,4375242,4378913,4374366,4361061,4338750,4307683,4268370,4221290,4167099,4106736,4040204,3968812,3896409,3827906,3766876,3714961,3671540,3635059,3602853,3572885,3544864,3519266,3495657
Monaco,22643,22749,22886,23046,23234,23448,23689,23968,24282,24605,24902,25153,25341,25482,25617,25802,26078,26459,26930,27459,28004,28533,29036,29521,29990,30447,30896,31330,31745,32154,32574,33014,33485,33974,34444,34840,35126,35288,35341,35323,35282,35260,35267,35295,35336,35377,35407,35427,35444,35456
Mongolia,1076571,1109312,1142272,1175616,1209647,1244846,1281535,1319817,1359478,1400150,1441311,1482599,1523908,1565380,1607212,1649710,1693122,1736994,1781213,1826717,1874774,1926002,1981170,2039204,2096653,2148850,2192553,2226469,2251861,2271236,2288370,2306131,2325369,2345618,2366895,2388862,2411369,2434515,2458853,2485177,2514462,2547339,2584143,2624509,2667474,2711659,2756001,2800114,2844081,2887863
Montenegro,500745,506646,510527,512701,514031,515746,518727,523214,528905,535454,542304,548999,555632,562247,568285,573036,576069,577041,576292,574920,574459,575997,579821,585546,592740,600697,608816,617144,625630,633443,639542,643227,644121,642533,639309,635689,632606,630299,628594,627500,626912,626739,627074,627962,629185,630435,631490,632261,632796,633167
Montserrat,11834,11839,11806,11754,11693,11644,11622,11626,11646,11680,11723,11770,11821,11875,11917,11931,11906,11837,11727,11592,11446,11307,11165,11013,10871,10769,10714,10746,10842,10883,10707,10210,9329,8137,6832,5697,4931,4608,4660,4962,5322,5599,5760,5845,5876,5895,5934,5990,6046,6100
Morocco,12959397,13323000,13703369,14098444,14502647,14908265,15309995,15706226,16099392,16493298,16893643,17304995,17726625,18158169,18604851,19073204,19566920,20088209,20633004,21190800,21747150,22291062,22818601,23330761,23827539,24310585,24781105,25237951,25679802,26107772,26523600,26928600,27323664,27708647,28082684,28444414,28793236,29129204,29453931,29770316,30082152,30392473,30702084,31011199,31321453,31634524,31951412,32272974,32598536,32925553
Mozambique,8296714,8473839,8657160,8847011,9043165,9245275,9453385,9665565,9882427,10109426,10353943,10620268,10908878,11214834,11530022,11843382,12145501,12441643,12731231,12992962,13199259,13334972,13384409,13365201,13336217,13378100,13547076,13867422,14318167,14854590,15409381,15933452,16412893,16862385,17295521,17735992,18200656,18691461,19200021,19721009,20246287,20770013,21290952,21811326,22332900,22858607,23390765,23929708,24475186,25028313
